date,title,amount
2024-12-31,Amazon Marketplace,87.90
2024-12-31,Marquesemartins,89.24
2024-12-31,Farmacia dos Trabalhad,48.49
2024-12-31,Celeiro Supermercado,169.44
2024-12-31,Google One,11.99
2024-12-31,Amazon Marketplace,39.30
2024-12-31,Emporio,38.84
2024-12-30,Cristal Embalagens,33.50
2024-12-30,Supermercado Reis,157.03
2024-12-28,Ivan Fernandes da Sil,22.00
2024-12-28,Google Youtubepremium,41.90
2024-12-27,Supermercado Alvorada,46.91
2024-12-27,Farmavida,38.00
2024-12-25,Nativa do Brasil,111.00
2024-12-25,A Mundial,47.43
2024-12-24,Mercadao da Economia,124.65
2024-12-24,Amazon,47.98
2024-12-24,Amazon,15.36
2024-12-24,50.396.276 Thalyta Cr,56.79
2024-12-23,Pier Food Park,65.45
2024-12-23,Mercadolivre*Ebazarco,31.90
2024-12-22,Confianca Supermercad,100.34
2024-12-22,Complem,152.12
2024-12-22,Celeiro Supermercado,94.19
2024-12-22,Cacau Show Morrinhos,29.98
2024-12-22,M . J. Cardoso,74.96
2024-12-22,Supermercado Reis,22.89
2024-12-22,Retro Gourmet,107.00
2024-12-21,Amazon Marketplace,149.99
2024-12-21,Ponto do Acai,64.00
2024-12-21,Amazon,90.90
2024-12-21,Amazon,12.68
2024-12-21,Mercadao da Economia,86.74
2024-12-20,Confianca Supermercad,32.94
2024-12-20,Mercadolivre*Kennyama,185.16
2024-12-20,Jl Restaurante,27.75
2024-12-20,"Estorno de ""Mercadolivre*Kennyama""",-185.16
2024-12-20,Pubs Grill,20.00
2024-12-19,Ponto do Acai,57.00
2024-12-19,Ifd*Geovane Oliveira R,10.00
2024-12-19,Jl Restaurante,22.45
2024-12-19,Ebanx*Ebanxcapcut,33.03
2024-12-19,Nubank Vida,17.82
2024-12-19,Supermercado Reis,62.14
2024-12-18,Mercadao da Economia,51.69
2024-12-18,Expresso Cafe,22.00
2024-12-18,Celeiro Supermercado,117.50
2024-12-18,Ifood *Ifood,39.52
2024-12-18,Ifood *Ifood,40.24
2024-12-18,Amundial,39.97
2024-12-18,Magazine Albernaz,44.00
2024-12-18,Emporio,7.86
2024-12-18,Jl Restaurante,37.81
2024-12-17,Valori *Posto Pelicano,248.41
2024-12-17,Americanas,25.97
2024-12-17,Acg,359.98
2024-12-16,Drogasil,14.85
2024-12-16,Supermercado Reis,62.51
2024-12-16,Amazon,39.90
2024-12-16,Transação de NuTag,7.90
2024-12-16,Transação de NuTag,5.40
2024-12-16,Transação de NuTag,7.40
2024-12-16,Confianca Supermercad,84.39
2024-12-15,Confianca Supermercad,7.00
2024-12-15,Mastervet Agropecuari,262.90
2024-12-15,Valori *Posto Pelicano,118.80
2024-12-14,Confianca Supermercad,28.36
2024-12-14,Academia,130.00
2024-12-13,Supermercado Reis,357.35
2024-12-13,Google Oasis Minimal,7.49
2024-12-13,Pg *Ton Foco Supleme,99.99
2024-12-12,Airbnb * Hm344wz8bb,515.43
2024-12-12,Amazon,45.99
2024-12-12,Requinte Gourmet,163.79
2024-12-12,Mercadolivre*Kennyama,185.16
2024-12-11,Shama Festas,40.48
2024-12-11,Du Ponto Moda Intima,118.10
2024-12-11,Vivo Easy,33.00
2024-12-11,Varandas Gourmet,184.73
2024-12-11,Amazon,55.80
2024-12-11,Vivo Easy,33.00
2024-12-11,Mercadao da Economia,162.56
2024-12-10,Amazon Marketplace,699.00
2024-12-10,Mp *Melimais,9.90
2024-12-10,Supermercado Alvorada,97.13
2024-12-10,Vivo Easy,33.00
2024-12-10,Drogasil,21.56
2024-12-10,Celeiro Supermercado,40.66
2024-12-10,Confianca Supermercad,12.98
2024-12-10,Google On,6.99
2024-12-09,Yuri Alex da Costa,107.00
2024-12-09,Pagamento recebido,-10821.32
2024-12-09,Mariacarmelindade,39.00
2024-12-08,Mega Mix,20.00
2024-12-08,Supermercado Reis,27.37
2024-12-08,Amundial,127.88
2024-12-07,Cristal Embalagens,97.40
2024-12-07,Supermercado Reis,18.70
2024-12-07,Mercadao da Economia,70.83
2024-12-07,Netflix Entretenimento,44.90
2024-12-07,Confianca Supermercad,16.47
2024-12-06,Dafiti *4595005710,140.97
2024-12-06,Htm*Novo Start Lanc,125.00
2024-12-06,Amazon Marketplace,58.49
2024-12-05,Google Ellation,19.99
2024-12-05,Confianca Supermercad,22.95
2024-12-05,Mercadolivre*21produt,639.97
2024-12-05,Supermercado Reis,68.91
2024-12-05,Amazon,79.90
2024-12-04,Confianca Supermercad,51.86
2024-12-04,Google do It Now Rpg,9.99
2024-12-04,50.396.276 Thalyta Cr,56.79
2024-12-04,Dm *Spotify,11.90
2024-12-04,Amazon,27.36
2024-12-03,Richesse,121.80
2024-12-03,Toshca Arabian,31.43
2024-12-03,Ifd*Ifood Club,5.95
2024-12-02,Confianca Supermercad,37.13
2024-12-02,Transação de NuTag,7.90
2024-12-02,Transação de NuTag,13.24
2024-12-02,Transação de NuTag,7.90
2024-12-01,Mercadolivre*Ejoliver - Parcela 10/10,28.51
2024-12-01,Mercadolivre*Emmabras - Parcela 9/10,75.90
2024-12-01,Mercadolivre*Kimonosl - Parcela 3/6,31.16
2024-12-01,S2p*Bibliotecaca - Parcela 8/12,74.90
2024-12-01,Htm*Decorandoalei - Parcela 9/12,19.49
2024-12-01,Lypedepyl Depilacao A - Parcela 4/12,95.00
2024-12-01,Google One,11.99
2024-12-01,Mercadolivre*Tatamess - Parcela 8/10,39.39
2024-12-01,Mercadolivre*Splitter - Parcela 8/10,39.38
2024-12-01,Mercadolivre*Emmabras - Parcela 7/10,276.90
2024-12-01,Iugu*Comupemari,59.90
2024-12-01,Kiwify *Novocpc - Parcela 11/12,14.75
2024-12-01,Amazon - Parcela 6/9,53.60
2024-12-01,Lojas Avenida Filial,265.92
2024-12-01,Gol Linhas A*Ofrqcx014 - Parcela 4/5,578.83
